segment_id,start_seconds,end_seconds,phase,course_objective,practice_class,primary_source_id,source_locator,source_operation,source_faithful_baseline,qctp_enhancement,fidelity_status,disposition
D1-PRE-01,-1,-1,Pre-session readiness,Prevent delivery defects from altering the practice,QCTP_ORIGINAL,QCTP-SUPPORT-AUDIO,"QCTP source-fidelity standard; Day 1 natural-session audit","Preview the selected continuous bed, learned soft pre-cue marker, and guide level before the timed session","No teacher method begins during readiness","Local/offline pack check; headphone and volume confirmation; marker preview; one dominant Begin control",QCTP SUPPORT LAYER,INCLUDED_BEFORE_TIMER
D1-00,0,45,Physical Settling / Baseline Awareness,Observe the state present before deliberate change,QCTP_ORIGINAL,QCTP-BASELINE-OBSERVATION,"QCTP workbook Day 1 Baseline Awareness","Observe current mental tone, emotion, breath, jaw, shoulders, chest, gut, and general activation without changing them yet","A brief source-neutral baseline observation precedes all source methods","One-action-at-a-time wording; quiet support bed; no interpretation or state claim",QCTP SUPPORT LAYER,INCLUDED
D1-01,45,180,Physical Settling / Baseline Awareness,Recognize physical contraction and permit release,SOURCE_ENHANCED,TB-ANCHOR-01,"YouTube 4f9GOGTaXuc at approximately 58:05–60:46","Bring attention to recognizable contraction in the gut, heart, muscles, or nervous system; feel what is present; release rather than suppress; use acceptance or gratitude; intentionally allow a higher quality into the opened space","Notice the clearest contraction; stay with the physical sensation without digging for a story; allow a small release; transition toward acceptance or gratitude","Posture support; do-not-force guard; no trauma excavation; predictable cues; transition explicitly names the end of the Bullard-derived segment",SOURCE-COMPATIBLE CLARIFICATION,INCLUDED
D1-02,180,300,Coherence,Learn the exact source breath entry,SOURCE_ENHANCED,HM-QC-01,"HeartMath Quick Coherence Step 1","Focus attention in the heart area; imagine breath flowing in and out through the heart or chest; breathe a little slower and deeper; suggested five seconds in and five seconds out or another comfortable rhythm","Coach five seconds in and five seconds out for several easy cycles with no hold; comfort overrides exact timing","Quiet audible breath rail after initial counted cycles; no nasal-only claim; reduce depth before changing rhythm if effort rises",DIRECTLY SOURCE-DERIVED,INCLUDED
D1-03,300,480,Coherence,Generate and stabilize a regenerative state,SOURCE_ENHANCED,HM-QC-01,"HeartMath Quick Coherence Step 2","Make a sincere attempt to experience appreciation or care; calm or ease may be used; re-experience the feeling connected with a person, pet, place, accomplishment, or similar source","Use one real memory or reference to evoke appreciation, care, calm, or ease; attend to the felt shift rather than repeating words","Teach tier explains that a faint genuine shift counts; memory can be released after the feeling appears; voice density tapers; no forced positivity",SOURCE-COMPATIBLE CLARIFICATION,INCLUDED
D1-04,480,600,Attention Contrast,Recognize focused attention before widening it,SOURCE_ENHANCED,JD-SPACE-01,"Dr Joe Dispenza official induction descriptions; awareness of a body area and its place in space","Place attention on a defined body area and sense the space it occupies rather than analyzing it","Sense the volume occupied by the head and the space between the ears while remaining aware that this area exists in space","Clarify sensing versus visual construction; prompt one neutral return when attention becomes a story; no brainwave or advanced-state claim",DIRECTLY SOURCE-DERIVED,INCLUDED
D1-05,600,780,Attention Contrast,Move deliberately from convergent to divergent attention,SOURCE_ENHANCED,JD-SPACE-01,"Dr Joe Dispenza official Part I and induction support pages","Move from narrow or object focus to opening and broadening attention toward the space around the selected body area","Shift from the head as an object to sensing the space surrounding the head; compare effort and mental activity","Slow cue pacing; learned marker; enough silence to feel the contrast; no generic breath count inserted",DIRECTLY SOURCE-DERIVED,INCLUDED
D1-06,780,1080,Open Spatial Awareness,Expand awareness around the whole body,SOURCE_ENHANCED,JD-SPACE-01,"Dr Joe Dispenza official Part I: sensing or feeling the space around us","Sense or feel the space surrounding the body and allow attention to become less object-bound","Include the space around the chest, abdomen, back, limbs, and whole body as one continuous surrounding volume","Progressive scale cues; distinguish receptive sensing from imagined scenery; attention-capture recovery prompt; support bed continues",SOURCE-COMPATIBLE CLARIFICATION,INCLUDED
D1-07,1080,1320,Open Spatial Awareness,Stabilize room-scale broad attention,SOURCE_ENHANCED,JD-SPACE-01,"Dr Joe Dispenza official Part I: broadening focus to space or nothingness","Continue broad spatial attention beyond the body rather than returning to individual objects","Sense the space between the body and the room boundaries, then the room as one volume; let sounds occur within the same field without chasing them","Major cue density reduction; no promise of alpha, theta, boundary loss, or quantum-field entry; drowsiness correction remains available",SOURCE-COMPATIBLE CLARIFICATION,INCLUDED
D1-08,1320,1380,Source transition,Measure whether the trained state persists after the source method ends,QCTP_SYNTHESIS,QCTP-TRANSITION-01,"QCTP source-fidelity standard","End the Dispenza-derived spatial operation explicitly before beginning source-neutral observation","Stop deliberately widening attention; let awareness organize itself and notice what remains of physical ease, appreciation, and spaciousness","Explicit teacher-boundary announcement; support bed remains stable; no simultaneous blending attributed to either source",QCTP SYNTHESIS TRANSITION,INCLUDED
